ID,wav,semantics,transcript
2262,fine-tune/20140225-0900-PLENARY-3-en_20140225-10:25:00_8,[{'type': 'gpe'| 'filler': 'uk'}],too. in the uk we have seen civil society social partners really squeezed out of the process since the change from the past coordination method.
2263,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:29:27_24,[],debt. but we still have great challenges ahead.
2264,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:29:27_22,[],but we have to solve the problems of over indebtedness and lack of competitiveness.
2265,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:29:27_15,[],the best rules are of no use if there is no strong referee to implement them.
2266,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:29:27_11,[{'type': 'date'| 'filler': 'months'}| {'type': 'date'| 'filler': 'the past years'}],rather we must step up our ambition because we have to continue with determination. this house has negotiated many important proposals in the past years and months.
2267,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:29:27_17,[{'type': 'norp'| 'filler': 'cypriot'}],we are aware of the great challenges that the cypriot government is facing. let us not forget that many of them have only inherited the extremely difficult problems in their countries.
2268,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:29:27_26,[],therefore we have to unleash the investment potential but we also have to step up our efforts for structural reforms with great ambitions.
2269,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:29:27_1,[],we have not yet left the crisis fully behind us;
2270,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:29:27_5,[{'type': 'date'| 'filler': 'eighteen months'}],current accounts are improving and after eighteen months of stagnation growth has been picking up since early.
2271,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:29:27_2,[],however thanks to joint and concerted efforts we have overcome its most critical part.
2272,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:29:27_27,[{'type': 'gpe'| 'filler': 'italy'}| {'type': 'gpe'| 'filler': 'france'}],look at what happens in countries like france and italy.
2273,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:29:27_18,[],they have shown courage and accepted the responsibility which voters entrusted in them.
2274,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:29:27_21,[{'type': 'norp'| 'filler': 'europeans'}],the structural reforms are sometimes painful and we should never forget how many europeans are hit very hard without having the slightest responsibility for the problems of the past.
2275,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:29:27_16,[{'type': 'norp'| 'filler': 'greek'}| {'type': 'norp'| 'filler': 'irish'}| {'type': 'norp'| 'filler': 'spanish'}| {'type': 'norp'| 'filler': 'portuguese'}| {'type': 'date'| 'filler': 'today'}],today's debate is the occasion to look at our member states and pay tribute to the efforts many courageous women and men have made. the reforms for instance carried out by the portuguese the spanish the irish and the greek governments deserve our respect.
2276,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:29:27_12,[{'type': 'person'| 'filler': 'rehn'}| {'type': 'person'| 'filler': 'barroso'}| {'type': 'org'| 'filler': 'epp'}],it will help to stabilise our economies and stimulate growth and on behalf of the epp i would like to thank president barroso and vice president rehn for the determination the determination of your commission which you have shown.
2277,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:29:27_14,[{'type': 'date'| 'filler': 'two thousand and fourteen'}| {'type': 'org'| 'filler': 'epp'}| {'type': 'loc'| 'filler': 'europe'}],europe has been in good hands and the epp also fully supports your approach in the two thousand and fourteen semester. our group wants a strong commission an independent commission.
2278,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:29:27_25,[],we have to beat the unacceptable unemployment figures.
2279,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:29:27_23,[{'type': 'norp'| 'filler': 'europeans'}],we have to think of the future of our children their jobs and their future. delaying reforms would cause even more hardship. therefore i am sure we are laying the right foundations to give young europeans a brighter future and offer them jobs instead of
2280,fine-tune/20140225-0900-PLENARY-3-en_20140225-11:46:13_14,[],let me remind this house also that in the economic field there are binding tools backed by sanctions. in the social field we still largely rely on the open method of coordination.
2281,fine-tune/20140225-0900-PLENARY-3-en_20140225-11:46:13_3,[],we have discussed the issues which are in the forefront of citizens' minds public services wages unemployment poverty and education. these are issues of concern to all of us since they affect all our citizens irrespective of their home country.
2282,fine-tune/20140225-0900-PLENARY-3-en_20140225-10:16:37_2,[{'type': 'law'| 'filler': 'youth guarantee implementation plan'}],there is also the youth guarantee implementation plan.
2283,fine-tune/20140225-0900-PLENARY-3-en_20140225-10:16:37_5,[],there is still a lot to do.
2284,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_16,[],how can we make our economy recover again?
2285,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_34,[],we also significantly reformed our financial sector from new capital requirements to more recently the proposal on the structural reform of banks.
2286,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_66,[],past. i think we can say that the need for sound public finances is now entrenched.
2287,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_32,[],we were able to provide financial assistance to member states in distress or in some cases specifically to their banking sector.
2288,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_21,[{'type': 'date'| 'filler': 'two thousand and fifteen'}],two thousand and fifteen consumer confidence and investment confidence is now positive.
2289,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_73,[],by cutting red tape and reducing regulatory burdens;
2290,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_57,[{'type': 'date'| 'filler': 'last year'}],along with national parliaments you have brought democratic legitimacy accountability and ownership. as we said last year in the blueprint for a deep and genuine economic and monetary union economic governance social commitments and democratic legitimacy must move forward hand in
2291,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_75,[],smes. tax systems should be simplified further and the tax burden redirected away from labour. we should be more resource and energy efficient and invest more in research innovation and development. because we cannot afford to sit back and
2292,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_23,[{'type': 'loc'| 'filler': 'europe'}],instead of expressing concern leaders outside europe congratulate us on our resilience and for our political willingness to act.
2293,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_71,[{'type': 'law'| 'filler': 'single market act i'}],today. we should continue to look at ways to be more competitive by making further progress on the single market and adopting the remaining proposals under single market act i and ii in telecoms transport energy and the digital
2294,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_38,[],i think we can say that this was a strong set of achievements which were possible due to the strong involvement of this house.
2295,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_25,[],naturally we know the situation is still difficult.
2296,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_46,[{'type': 'norp'| 'filler': 'european'}],a reinforced surveillance of employment and social developments is now a reality as part and parcel of the european semester.
2297,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_62,[],but more important than the process is that it has led to concrete and significant fiscal and structural reforms that have helped restore confidence.
2298,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_3,[{'type': 'norp'| 'filler': 'ukrainian'}| {'type': 'ordinal'| 'filler': 'number one'}],our number one priority was to stop the bloodshed and create the conditions for a political process that can deliver what the ukrainian people most wish for democracy respect for fundamental freedoms and a better prospect for the country's future.
2299,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_9,[{'type': 'gpe'| 'filler': 'ukraine'}| {'type': 'loc'| 'filler': 'european continent'}| {'type': 'gpe'| 'filler': 'ukraine'}| {'type': 'gpe'| 'filler': 'russia'}],i launch from here an appeal to all our international partners and in particular russia to work constructively with us to guarantee a united ukraine that can be effective for stability in the european continent a ukraine that will have good relations both with its western and its eastern partners.
2300,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_1,[{'type': 'norp'| 'filler': 'european'}],to say a few words about the situation in that european country which we feel is so close to us now.
2301,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_8,[],we are already working together with the international community and international financial institutions to find ways to support the country.
2302,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_4,[{'type': 'date'| 'filler': 'twenty one february'}],a lasting solution to the political and institutional crisis can only be achieved through an inclusive transitional government that respects the different political and regional sensitivities and through constitutional reform and democratic elections as laid down in the agreement of twenty one february.
2303,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_15,[{'type': 'norp'| 'filler': 'european'}],the european semester goes to the very heart of what has preoccupied us all especially from the outset of the financial crisis our economy.
2304,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_65,[{'type': 'loc'| 'filler': 'europe'}],area. by putting in place a system of increased coordination i think europe has shown that there was a will and there is in fact a will to learn the lessons from the crisis and to avoid some of the mistakes of the
2305,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_78,[],potential. we must now get down to the business of extracting the biggest added value from every last euro that has been
2306,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_63,[],it has added a strong economic dimension to a range of policies from taxation energy transport research climate and environment to judicial systems.
2307,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_52,[{'type': 'loc'| 'filler': 'europe'}| {'type': 'date'| 'filler': 'few years'}],these renewed foundations were laid down in just a few years and they play a key role in helping europe emerge from the crisis more resilient for the future and stronger.
2308,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_39,[],while some of us would have liked to go further and faster i believe it is fair to recognise progress in this area.
2309,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_49,[],it is true that improvements in macroeconomic conditions are not yet being felt by citizens themselves and by their families in some of our member states.
2310,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_24,[],they also congratulate us on the necessary courageous and often painful reforms that several member states have had to put in place.
2311,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_84,[],have been. together we are emerging from the crisis united open and i believe
2312,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_19,[{'type': 'gpe'| 'filler': 'european union'}| {'type': 'date'| 'filler': 'a year ago'}],a year ago some were still talking of the collapse of the euro some were even speculating about the disintegration of the european union. i think we can say that together we have proved that the prophets of doom were wrong.
2313,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_69,[{'type': 'date'| 'filler': 'four months'}| {'type': 'date'| 'filler': 'twenty five'}],deficits have been halved and significant structural reforms for more competitiveness are under way reforms such as the modernisation of our labour markets and public administrations or the youth guarantees that are being put in place to ensure that all young people under twenty five receive a good quality offer of employment continued education an apprenticeship or a traineeship within four months of leaving formal education or becoming unemployed.
2314,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_20,[{'type': 'date'| 'filler': 'this year'}],this is the year in which we are moving away from recession. the recovery is expected to continue and to become more robust during this year and to strengthen further in.
2315,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_50,[],but at the same time it would be politically inaccurate and i think intellectually dishonest to deny the progress we have made.
2316,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_72,[],sector; by getting rid of the blockages in business and professional services retail and construction;
2317,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_26,[],tackling unemployment and the social consequences of the crisis will take time and resolve.
2318,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_74,[],and by improving access to finance for our
2319,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_35,[{'type': 'loc'| 'filler': 'euro area'}| {'type': 'gpe'| 'filler': 'european union'}| {'type': 'org'| 'filler': 'economic and monetary union'}| {'type': 'org'| 'filler': 'banking union'}| {'type': 'org'| 'filler': 'parliament'}],we are about to conclude and i certainly expect the strong support of parliament on this the banking union which is a significant step in the deepening of economic and monetary union. and finally we have overhauled the system of economic governance in the european union particularly in the euro area.
2320,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:13:05_43,[{'type': 'norp'| 'filler': 'european'}| {'type': 'norp'| 'filler': 'european'}],by introducing the european semester we have ensured that coordination of member state economic policies takes place at european level respecting of course the national competences.
2321,fine-tune/20140225-0900-PLENARY-3-en_20140225-10:27:16_8,[{'type': 'org'| 'filler': 'parliament'}],this parliament passed a resolution with a large majority in favour.
2322,fine-tune/20140225-0900-PLENARY-3-en_20140225-10:27:16_6,[],by giving us a programme for the digital single market?
2323,fine-tune/20140225-0900-PLENARY-3-en_20140225-10:27:16_4,[],so that is the big message from my committee which i hope will be taken on board.
2324,fine-tune/20140225-0900-PLENARY-3-en_20140225-10:27:16_2,[{'type': 'person'| 'filler': 'barroso'}| {'type': 'person'| 'filler': 'kourkoulas'}],i was very pleased that mr kourkoulas and mr barroso i am sorry he is still not here both included in their speeches explicit references to the potential of the single market and areas that need to be moved forward in order to create the jobs and growth that we all seek.
2325,fine-tune/20140225-0900-PLENARY-3-en_20140225-10:27:16_5,[{'type': 'org'| 'filler': 'parliament'}| {'type': 'org'| 'filler': 'parliament'}| {'type': 'person'| 'filler': 'mrbarroso'}],i just want to supplement this by saying in particular to the commission to mrbarroso that we already gave you the instruments by approving in this parliament the single market acts which were not in your original europe two thousand and twenty programme because we wanted a political programme to complete the key instruments of the single market so why are you not following those through properly in this semester? why are you not taking the lead from this parliament
2326,fine-tune/20140225-0900-PLENARY-3-en_20140225-10:27:16_7,[{'type': 'org'| 'filler': 'council'}],the council asked you for it.
2327,fine-tune/20140225-0900-PLENARY-3-en_20140225-10:27:16_9,[],where is the commission's programme on this key growth instrument?
2328,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:57:26_5,[{'type': 'cardinal'| 'filler': 'one'}| {'type': 'cardinal'| 'filler': 'two'}],but even if you had they would not have listened so obsessed are they with building the euro. ok a simple lesson in economics when you have two countries that are at completely different stages of the economic cycle one currency needs to devalue.
2329,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:57:26_3,[{'type': 'gpe'| 'filler': 'greece'}| {'type': 'cardinal'| 'filler': 'eight hundred thousand'}| {'type': 'org'| 'filler': 'the lancet'}| {'type': 'person'| 'filler': 'mrkourkoulas'}],what you could have told them mrkourkoulas is that according to the respected medical journal the lancet there are now eight hundred thousand people in greece without access to welfare or medical care.
2330,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:57:26_6,[{'type': 'ordinal'| 'filler': 'third'}| {'type': 'loc'| 'filler': 'mediterranean'}| {'type': 'loc'| 'filler': 'mediterranean'}],but if those countries are pegged or tied inside the same currency and they cannot devalue you have to devalue the country and that is what is happening to the mediterranean. we are devaluing the mediterranean and it is leaning towards third world status.
2331,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:57:26_2,[],the obsession that you will use the crisis to build a united states of europe.
2332,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:59:52_1,[{'type': 'norp'| 'filler': 'european'}| {'type': 'loc'| 'filler': 'euro area'}| {'type': 'gpe'| 'filler': 'scotland'}| {'type': 'gpe'| 'filler': 'newcastle'}| {'type': 'gpe'| 'filler': 'london'}],however the taxpayers in london do not object strongly to transfers going to newcastle or scotland or wherever they may be needed because we are part of the same country. the problem you have with the euro area is not just this huge economic imbalance between north and south but that increasingly the taxpayers of the north do not want to go on subsidising the south because there is no sense of european identity.
2333,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:59:52_2,[],we are very different countries.
2334,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:53:47_2,[{'type': 'norp'| 'filler': 'conservative'}],what happens in practice is that conservative centre right policies are actually delivering the agenda that we all want to see.
2335,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:53:47_3,[{'type': 'norp'| 'filler': 'greens'}| {'type': 'norp'| 'filler': 'socialists'}],of course the socialists and the greens can talk a good story can talk about concern and compassion but the results on the ground show that their policies are misguided and on the ground do not actually deliver any results.
2336,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:47:00_0,[{'type': 'ordinal'| 'filler': 'secondly'}| {'type': 'loc'| 'filler': 'europe'}| {'type': 'ordinal'| 'filler': 'firstly'}| {'type': 'norp'| 'filler': 'green'}| {'type': 'norp'| 'filler': 'green'}| {'type': 'person'| 'filler': 'lamberts'}],mr lamberts it is all very well for you as a green mep to say that it is a disaster that people are finding the cost of living so high yet it is your green policies firstly not allowing gm crops to be grown properly in europe which would make food cheaper and secondly your crazy energy policies which are raising the price of energy to every single household.
2337,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:59:15_0,[{'type': 'gpe'| 'filler': 'northern ireland'}| {'type': 'gpe'| 'filler': 'scotland'}| {'type': 'gpe'| 'filler': 'wales'}| {'type': 'gpe'| 'filler': 'united kingdom'}| {'type': 'person'| 'filler': 'farage'}],mr farage i think that many things you said make a lot of sense internal devaluation in a currency union is inevitable if there are no transfers. now would you then applying the same reasoning to the united kingdom say that if the economic cycles of wales of scotland or of northern ireland are different then probably the best solution would be to dissolve the currency union and to then leave each part of the current union to live its own life possibly with
2338,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:47:35_3,[],we do have the capability to invest.
2339,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:47:35_4,[],then the question is how do you correct the impact of these measures on those at the lowest end of the income spectrum via ambitious tax policies? that is what we need to change.
2340,fine-tune/20140225-0900-PLENARY-3-en_20140225-11:26:38_2,[],what the commission said has helped to rebuild confidence and what the member states and the commission have done despite the negativity has restored stability and confidence.
2341,fine-tune/20140225-0900-PLENARY-3-en_20140225-11:26:38_3,[],let us be clear about that message.
2342,fine-tune/20140225-0900-PLENARY-3-en_20140225-11:26:38_4,[{'type': 'ordinal'| 'filler': 'secondly'}],secondly i have heard a great deal about jobs and growth but we are missing a key word here.
2343,fine-tune/20140225-0900-PLENARY-3-en_20140225-11:26:38_5,[{'type': 'event'| 'filler': 'celtic tiger'}| {'type': 'gpe'| 'filler': 'ireland'}],in ireland we had jobs and growth to beat the band during the celtic tiger era but it was unsustainable.
2344,fine-tune/20140225-0900-PLENARY-3-en_20140225-11:26:38_6,[{'type': 'ordinal'| 'filler': 'third'}],let us talk about sustainable jobs and growth. my third point let us talk about spending money cuts etc.
2345,fine-tune/20140225-0900-PLENARY-3-en_20140225-11:26:38_7,[],we have wasted money;
2346,fine-tune/20140225-0900-PLENARY-3-en_20140225-11:26:38_8,[],we have thrown money at problems.
2347,fine-tune/20140225-0900-PLENARY-3-en_20140225-11:26:38_9,[{'type': 'gpe'| 'filler': 'european union'}],we need quality spending of member states' budgets just as we need quality spending of the european union's budget.
2348,fine-tune/20140225-0900-PLENARY-3-en_20140225-11:02:11_3,[],it has been the lack of structural reforms. that has created unemployment and deep social problems.
2349,fine-tune/20140225-0900-PLENARY-3-en_20140225-11:02:11_4,[],we all know that the policy of spendarity which is advocated from that side has led to ever growing costs for interest rates squeezing out important spending on welfare and important investments in infrastructure.
2350,fine-tune/20140225-0900-PLENARY-3-en_20140225-11:02:11_5,[],yet still some of the colleagues here are defending more spending more deficits higher interest rates more cost for interest rates but every step which is taken in that direction undermines prosperity and competitiveness. what we see now
2351,fine-tune/20140225-0900-PLENARY-3-en_20140225-11:02:11_7,[],spending or spendarity caused high unemployment and high interest rates and undermined public finances.
2352,fine-tune/20141215-0900-PLENARY-14-en_20141215-17:58:48_4,[{'type': 'date'| 'filler': 'last year'}| {'type': 'cardinal'| 'filler': 'zero'}| {'type': 'cardinal'| 'filler': 'twenty'}],over twenty zero elephants were killed by poachers last year;
2353,fine-tune/20141215-0900-PLENARY-14-en_20141215-17:58:48_2,[],this marks an important step in the protection of highly endangered species around the world.
2354,fine-tune/20141215-0900-PLENARY-14-en_20141215-17:58:48_6,[],but the trade in living wild animals is also thriving.
2355,fine-tune/20141215-0900-PLENARY-14-en_20141215-17:58:48_8,[],these animals face extreme stress poor conditions and are at a high risk of early death.
2356,fine-tune/20141215-0900-PLENARY-14-en_20141215-17:58:48_11,[{'type': 'gpe'| 'filler': 'china'}],we can and must develop an action plan working closely with countries such as china.
2357,fine-tune/20141215-0900-PLENARY-14-en_20141215-17:58:48_10,[],they deserve our protection.
2358,fine-tune/20141215-0900-PLENARY-14-en_20141215-17:58:48_12,[{'type': 'org'| 'filler': 'cites'}| {'type': 'gpe'| 'filler': 'eu'}],the eu can be a global leader in the fight against this serious and most profitable crime as a full member of cites.
2359,fine-tune/20141215-0900-PLENARY-14-en_20141215-17:58:48_9,[{'type': 'law'| 'filler': 'cites'}],all parties to cites must act decisively and quickly to prevent animals being traded as commodities.
2360,fine-tune/20141215-0900-PLENARY-14-en_20141215-17:58:48_7,[{'type': 'gpe'| 'filler': 'uae'}| {'type': 'gpe'| 'filler': 'china'}| {'type': 'gpe'| 'filler': 'zimbabwe'}],at this very moment the zimbabwe government is profiteering from baby elephants removed from their herds to be sold to zoos in china and the uae.
2361,fine-tune/20141215-0900-PLENARY-14-en_20141215-17:58:48_1,[{'type': 'law'| 'filler': 'cites'}],we will also be responsible for implementing and enforcing the convention and will participate fully in cites projects.
2362,fine-tune/20141215-0900-PLENARY-14-en_20141215-17:58:48_5,[{'type': 'gpe'| 'filler': 'south africa'}| {'type': 'cardinal'| 'filler': 'six hundred and sixty eight'}],a record six hundred and sixty eight rhinos in south africa alone were killed for their horns just to make trinkets and medicines that do not work. unless we act now these species and many others will become extinct.
2363,fine-tune/20141215-0900-PLENARY-14-en_20141215-17:58:48_3,[],more than ever international coordinated action is needed to end illegal wildlife trade stop poaching and the increasing rate of biodiversity loss.
2364,fine-tune/20141215-0900-PLENARY-14-en_20141215-17:57:26_7,[{'type': 'date'| 'filler': 'a week'}],barely a week goes by when we do not see some new seizure of goods or medicines fashioned from endangered species from tigers' bones to rhino horn.
2365,fine-tune/20141215-0900-PLENARY-14-en_20141215-17:57:26_9,[{'type': 'law'| 'filler': 'cites'}| {'type': 'gpe'| 'filler': 'eu'}],i would like to see this as just the very beginning of the eu's new approach to cites.
2366,fine-tune/20141215-0900-PLENARY-14-en_20141215-17:57:26_6,[{'type': 'cardinal'| 'filler': 'twenty eight'}| {'type': 'gpe'| 'filler': 'eu'}],in my view this will give the eu a platform to move forward together at the conference of the parties employing the power and influence of all twenty eight member states together and i hope that in the near future we will be able to use this influence to promote tougher enforcement of the licensing system.
2367,fine-tune/20141215-0900-PLENARY-14-en_20141215-17:47:38_10,[{'type': 'gpe'| 'filler': 'eu'}],we must reinvest in natural capital construct green infrastructure and ensure that all spending under the eu budget is supportive of halting the loss of biodiversity.
2368,fine-tune/20141215-0900-PLENARY-14-en_20141215-18:26:00_5,[{'type': 'gpe'| 'filler': 'eu'}| {'type': 'cardinal'| 'filler': 'eighty one'}| {'type': 'org'| 'filler': 'parliament'}| {'type': 'law'| 'filler': 'eu action plan against wildlife trafficking'}| {'type': 'date'| 'filler': 'today'}],on the specific question raised here today on the eu action plan against wildlife trafficking we have taken good note of the parliament resolution on wildlife trafficking and the recent letter signed by eighty one meps arguing in favour of an eu wildlife action plan.
2369,fine-tune/20141215-0900-PLENARY-14-en_20141215-18:26:00_3,[{'type': 'gpe'| 'filler': 'eu'}],the eu voice will be stronger in an international arena.
2370,fine-tune/20141215-0900-PLENARY-14-en_20141215-18:26:00_1,[{'type': 'date'| 'filler': 'same year'}| {'type': 'org'| 'filler': 'conference of the parties'}],and the conference of the parties later the same year.
2371,fine-tune/20141215-0900-PLENARY-14-en_20141215-18:26:00_6,[{'type': 'gpe'| 'filler': 'eu'}| {'type': 'person'| 'filler': 'vella'}],as commissioner vella has already indicated the eu should be leading the fight against wildlife trafficking both domestically and internationally.
2372,fine-tune/20141215-0900-PLENARY-14-en_20141215-18:26:00_0,[{'type': 'date'| 'filler': 'january two thousand and sixteen'}| {'type': 'org'| 'filler': 'cites standing committee'}| {'type': 'date'| 'filler': 'next year'}| {'type': 'law'| 'filler': 'cites'}| {'type': 'gpe'| 'filler': 'eu'}| {'type': 'org'| 'filler': 'council'}| {'type': 'org'| 'filler': 'parliament'}| {'type': 'law'| 'filler': 'cites'}| {'type': 'gpe'| 'filler': 'eu'}| {'type': 'org'| 'filler': 'parliament'}],madam president honourable members we are grateful to hear the strong support of parliament for the upcoming eu accession to cites. with the prospect of parliament giving its consent to the council decision tomorrow the eu should finally be able to become a party to cites next year and be ready for the next meeting of the cites standing committee in january two thousand and sixteen
2373,fine-tune/20141215-0900-PLENARY-14-en_20141215-18:26:00_2,[],thank you for your support.
2374,fine-tune/20141215-0900-PLENARY-14-en_20141215-18:02:23_4,[{'type': 'gpe'| 'filler': 'eu'}],like the elephant if it has ever more characteristics of a sovereign state then it is obvious to all that this is exactly what the eu is becoming.
2375,fine-tune/20141215-0900-PLENARY-14-en_20141215-18:02:23_8,[],it will enable the commission to lead negotiations and be a catalyst.
