ID,wav,semantics,transcript
34,fine-tune/20100705-0900-PLENARY-18-en_20100705-22:35:56_6,[],i object to the knee jerk reaction to call for more regulation rather than create incentives and i urge the commission to maintain its position and oppose the call for compulsion.
35,fine-tune/20140916-0900-PLENARY-19-en_20140916-22:04:17_11,[{'type': 'cardinal'| 'filler': 'one hundred and six'}],in addition in terms of success in helping the development and the placing on the market of medicines for rare and life threatening diseases the commission has already authorised one hundred and six of such innovative treatments.
36,fine-tune/20140916-0900-PLENARY-19-en_20140916-22:04:17_2,[{'type': 'date'| 'filler': 'april this year'}],this commitment was highlighted in the commission's communication of april this year on effective and resilient health systems which among other things focused on increasing accessibility to health systems.
37,fine-tune/20140916-0900-PLENARY-19-en_20140916-22:04:17_8,[{'type': 'gpe'| 'filler': 'eu'}| {'type': 'event'| 'filler': 'council of health ministers'}| {'type': 'date'| 'filler': 'next week'}| {'type': 'norp'| 'filler': 'italian'}],the commission is therefore looking forward to the debate planned by the italian presidency on therapeutic innovation at next week's informal council of health ministers. the outcome of this debate will help inform the new commission about the interest of member states in continuing an eu debate on the affordability of innovative health products.
38,fine-tune/20140916-0900-PLENARY-19-en_20140916-22:04:17_13,[],these are determined by member states individually.
39,fine-tune/20140916-0900-PLENARY-19-en_20140916-22:04:17_15,[{'type': 'gpe'| 'filler': 'eu'}],however the commission can offer help for example by pursuing improved exchanges of information among member states on their pricing policies with a view to minimising negative effects on the accessibility of medicines in the eu.
40,fine-tune/20140916-0900-PLENARY-19-en_20140916-22:04:17_12,[],the commission has however no competence to regulate the level of prices of medicinal treatments.
41,fine-tune/20140916-0900-PLENARY-19-en_20140916-22:04:17_7,[],of course the discussion on the impact of prices on the affordability of medicines for public payers and patients goes far beyond the specific case of hepatitis c treatments.
42,fine-tune/20140916-0900-PLENARY-19-en_20140916-22:04:17_14,[],thus there can be no price caps imposed by the commission.
43,fine-tune/20140916-0900-PLENARY-19-en_20140916-22:04:17_9,[],as regards support to research and development the commission is hopeful that the ongoing innovative medicines initiative will help speed up the development of better and safer medicines.
44,fine-tune/20140916-0900-PLENARY-19-en_20140916-22:04:17_10,[{'type': 'gpe'| 'filler': 'eu'}],eu pharmaceutical legislation contains a number of tools to facilitate early access to medicines for patients with unmet medical needs.
45,fine-tune/20140916-0900-PLENARY-19-en_20140916-22:04:17_3,[{'type': 'gpe'| 'filler': 'eu'}],the communication stressed the need for improved cooperation increased transparency and better coordination to minimise any unintended effects that current national pricing systems may have in terms of accessibility throughout the eu'.
46,fine-tune/20140916-0900-PLENARY-19-en_20140916-22:04:17_16,[],another way in which the commission could assist would be by further exploring the use of the joint procurement mechanism to obtain more advantageous price offers from the pharmaceutical industry.
47,fine-tune/20140916-0900-PLENARY-19-en_20140916-22:25:19_5,[{'type': 'person'| 'filler': 'juncker'}| {'type': 'org'| 'filler': 'standing committee of european doctors'}| {'type': 'org'| 'filler': 'age platform'}| {'type': 'norp'| 'filler': 'european'}],lastly i want to add my voice to the long list of organisations including the european consumer organisation age platform and the standing committee of european doctors asking commissioner juncker to revisit his decision to move medicinal products and health technologies into the portfolio of the commissioner for the internal market.
48,fine-tune/20140916-0900-PLENARY-19-en_20140916-22:25:19_3,[{'type': 'cardinal'| 'filler': 'seventeen'}| {'type': 'date'| 'filler': 'between two thousand and nine and two thousand and eleven'}| {'type': 'gpe'| 'filler': 'ireland'}],the commission itself in its country specific recommendations tells us that limitations on access to healthcare may weigh disproportionately on the more vulnerable sections of society the people who rely disproportionately on public services. in my own country ireland the cuts in health expenditure between two thousand and nine and two thousand and eleven were of the order of seventeen
49,fine-tune/20140916-0900-PLENARY-19-en_20140916-22:25:19_1,[],they are caused by supply issues they are caused by production issues and most certainly they are caused by affordability issues.
50,fine-tune/20140916-0900-PLENARY-19-en_20140916-22:35:30_2,[],he will also have people from his team who are listening to this debate and taking notes.
51,fine-tune/20140916-0900-PLENARY-19-en_20140916-22:35:30_6,[],there are other things for instance the exchange of information.
52,fine-tune/20140916-0900-PLENARY-19-en_20140916-22:35:30_7,[{'type': 'org'| 'filler': 'health council'}],there are other things and as far as i understand it the informal health council will actually have this on their agenda at their next meeting.
53,fine-tune/20140916-0900-PLENARY-19-en_20140916-22:35:30_8,[],thank you very much for the input.
54,fine-tune/20160913-0900-PLENARY-16-en_20160913-17:59:24_8,[{'type': 'org'| 'filler': 'african union'}| {'type': 'org'| 'filler': 'african union'}| {'type': 'ordinal'| 'filler': 'third'}],the third point and the key point i would like to underline is and maybe i am just an observer getting it wrong but it seems to me while the african union does play a role we see that the mediators' mission has been postponed and honestly i would have expected the african union to be much more vocal and much more engaged.
55,fine-tune/20160913-0900-PLENARY-16-en_20160913-18:18:25_1,[],sometimes we forget it.
56,fine-tune/20160913-0900-PLENARY-16-en_20160913-18:18:25_2,[{'type': 'gpe'| 'filler': 'gabon'}| {'type': 'gpe'| 'filler': 'european union'}],sometimes we focus on our own limits or divisions and for sure we have both limits and divisions but when we look at the work the european union does from the outside with the eyes of the citizens of gabon who were welcoming our mission we recognise how relevant our work is how important our values are how powerful our instruments are and how much expectation as well
57,fine-tune/20160913-0900-PLENARY-16-en_20160913-18:18:25_7,[],this is really a key part of our common work that i appreciate very much.
58,fine-tune/20160913-0900-PLENARY-16-en_20160913-18:18:25_10,[],we will look at what is happening and follow and monitor the situation in these critical hours and days extremely carefully and i know that you will do the same.
59,fine-tune/20160913-0900-PLENARY-16-en_20160913-18:16:00_2,[{'type': 'gpe'| 'filler': 'gabon'}| {'type': 'gpe'| 'filler': 'eu'}],the eu is ready to contribute to this process. no electoral process is completed without transparent post electoral mechanisms. transparency is one of the fundamental principles of free fair and competitive elections and must also be ensured in the days after the election day. in the case of gabon this needed to be ensured by publishing the results of the voting stations and by a transparent appeal process. this also applies to the current complaint procedures at the constitutional court. i am sure that our observation mission
60,fine-tune/20140416-0900-PLENARY-18-en_20140416-20:56:31_18,[],the commission believes that the text has reached an excellent balance.
61,fine-tune/20140416-0900-PLENARY-18-en_20140416-20:56:31_7,[],but that was difficult to achieve in practice.
62,fine-tune/20140416-0900-PLENARY-18-en_20140416-20:56:31_16,[],defending the effectiveness of competition authorities is good news for the victims of anti trust infringements.
63,fine-tune/20140416-0900-PLENARY-18-en_20140416-20:56:31_9,[],consumers and small companies especially have found it difficult to obtain compensation for the harm they suffered.
64,fine-tune/20140416-0900-PLENARY-18-en_20140416-20:56:31_14,[{'type': 'gpe'| 'filler': 'eu'}| {'type': 'cardinal'| 'filler': 'one'}],one way to do this is by allowing victims to use the infringement decisions of competition authorities in their own claims. in parallel the directive also clarifies the relationship between public and private enforcement of eu competition laws in particular when it comes to accessing documents that are in the possession of a competition authority.
65,fine-tune/20140416-0900-PLENARY-18-en_20140416-20:56:31_12,[],the directive includes rules that remove the current obstacles.
66,fine-tune/20140416-0900-PLENARY-18-en_20140416-20:56:31_3,[],i would like to underline the importance of the directive.
67,fine-tune/20140416-0900-PLENARY-18-en_20140416-20:56:31_5,[{'type': 'date'| 'filler': 'today'}| {'type': 'org'| 'filler': 'parliament'}| {'type': 'date'| 'filler': 'four years ago'}| {'type': 'person'| 'filler': 'almunia'}],when vice president almunia was before you in his hearing four years ago he promised that parliament would be fully involved in this file as co legislator. as a consequence today we bring this file negotiated under the ordinary legislative procedure to a successful end.
68,fine-tune/20140416-0900-PLENARY-18-en_20140416-20:56:31_2,[],we especially welcome that we can adopt this today at the very last moment before you all go campaigning.
69,fine-tune/20140416-0900-PLENARY-18-en_20140416-20:56:31_4,[],it has been described by the press as the most important development in competition policy of the last years and as a democratisation of the competition law enforcement.
70,fine-tune/20140416-0900-PLENARY-18-en_20140416-20:56:31_15,[{'type': 'date'| 'filler': 'tomorrow'}],the text that you will be voting tomorrow preserves a company's incentives to cooperate with competition authorities through leniency programmes and settlement procedures.
71,fine-tune/20140416-0900-PLENARY-18-en_20140416-20:56:31_13,[],it gives victims better access to the evidence they need to prove their claims and it ensures that victims can overcome the burden of providing a competition law infringement.
72,fine-tune/20140416-0900-PLENARY-18-en_20140416-20:56:31_17,[],the more decisions are taken the easier it will be for the victims to claim damages.
73,fine-tune/20140416-0900-PLENARY-18-en_20140416-20:56:31_11,[{'type': 'gpe'| 'filler': 'eu'}],it enables citizens and businesses harmed by anti trust infringements to effectively exercise the right to compensation that the eu is granting them.
74,fine-tune/20140416-0900-PLENARY-18-en_20140416-20:56:31_8,[{'type': 'date'| 'filler': 'in recent years'}],in recent years we have seen very few actions and many of them have failed because of inadequate legal frameworks.
75,fine-tune/20140416-0900-PLENARY-18-en_20140416-20:56:31_19,[{'type': 'cardinal'| 'filler': 'one'}],on the one hand it will be easier for victims to exercise the right to compensation.
76,fine-tune/20140416-0900-PLENARY-18-en_20140416-20:56:31_6,[{'type': 'org'| 'filler': 'court of justice'}| {'type': 'date'| 'filler': 'more than ten years ago'}],more than ten years ago the court of justice first recognised that any victim of anti trust infringement had a right to compensation.
77,fine-tune/20140416-0900-PLENARY-18-en_20140416-21:13:45_1,[{'type': 'gpe'| 'filler': 'union'}],large companies smes and consumers will be able to effectively claim full compensation before national courts throughout the union for the harm they have suffered.
78,fine-tune/20140416-0900-PLENARY-18-en_20140416-21:13:45_2,[],in addition the right of compensation will apply to the victims who have actually suffered the harm including those who had no direct dealings with an infringer because they were further down the supply chain.
79,fine-tune/20140416-0900-PLENARY-18-en_20140416-21:13:45_4,[],i want to stress that we are indeed talking about full and fair compensation.
80,fine-tune/20140416-0900-PLENARY-18-en_20140416-21:13:45_5,[],we all agree that multiple compensation for the same harm should be avoided and the directive includes provision to achieve this goal. at the same time the text regulates interaction between the public and private enforcement of competition law leading to an optimal overall enforcement of competition rules.
81,fine-tune/20140416-0900-PLENARY-18-en_20140416-21:13:45_6,[{'type': 'gpe'| 'filler': 'eu'}],the effectiveness of essential tools of public enforcement such as leniency programmes is maintained and even enhanced while respecting eu rules on transparency as well as the fundamental rights of the victims.
82,fine-tune/20151126-0900-PLENARY-14-en_20151126-12:34:33_5,[{'type': 'loc'| 'filler': 'eurozone'}],the other continents are surging ahead but the eurozone economy is the same size that it was in.
83,fine-tune/20151126-0900-PLENARY-14-en_20151126-12:34:33_3,[{'type': 'norp'| 'filler': 'swedish'}| {'type': 'gpe'| 'filler': 'eu'}| {'type': 'cardinal'| 'filler': 'one twenty eighth'}],are represented by one twenty eighth of an eu official i think at the moment a swedish former sociology professor.
84,fine-tune/20151126-0900-PLENARY-14-en_20151126-12:34:33_7,[],we have to make our way in the world through what we buy and sell. that means we have to be where the customers are.
85,fine-tune/20151126-0900-PLENARY-14-en_20151126-12:34:33_1,[],free trade makes conflict both pointless and unduly hurtful to the perpetrator.
86,fine-tune/20151126-0900-PLENARY-14-en_20151126-12:34:33_8,[{'type': 'org'| 'filler': 'wto'}| {'type': 'gpe'| 'filler': 'european union'}| {'type': 'loc'| 'filler': 'europe'}],the customers are not in europe and we need to leave the european union and take back our place in the wto.
87,fine-tune/20151126-0900-PLENARY-14-en_20151126-12:34:33_4,[{'type': 'loc'| 'filler': 'europe'}],that is not just a problem in theory it is very much a problem in practice when we think that europe is the only continent on the planet not experiencing economic growth.
88,fine-tune/20151126-0900-PLENARY-14-en_20151126-12:34:33_2,[{'type': 'org'| 'filler': 'world trade organization'}| {'type': 'gpe'| 'filler': 'uk'}| {'type': 'gpe'| 'filler': 'european union'}| {'type': 'date'| 'filler': 'forty years'}],yet and this point is still not widely understood despite more than forty years of membership of the european union the uk does not have a separate voice or vote in the world trade organization we.
89,fine-tune/20151126-0900-PLENARY-14-en_20151126-12:37:02_1,[{'type': 'gpe'| 'filler': 'ecuador'}],free trade is particularly in the interests of small and medium firms and of consumers in a country like ecuador.
90,fine-tune/20151126-0900-PLENARY-14-en_20151126-12:37:02_6,[{'type': 'gpe'| 'filler': 'eu'}],they can go further when they think the eu is being unduly protectionist;
91,fine-tune/20151126-0900-PLENARY-14-en_20151126-12:37:02_2,[{'type': 'law'| 'filler': 'treaty of rome'}| {'type': 'gpe'| 'filler': 'european union'}],it is also and we always seem to forget this point mentioned as one of the primary objectives of the european union in the treaty of rome.
92,fine-tune/20151126-0900-PLENARY-14-en_20151126-12:52:33_1,[],application and oversight etc.
93,fine-tune/20151126-0900-PLENARY-14-en_20151126-12:52:33_4,[],they will have a field day here because there is so much simplification needed.
94,fine-tune/20151126-0900-PLENARY-14-en_20151126-12:45:23_1,[],of course people feel strongly about it. it touches us emotionally and it opens the door to what has come to be known as virtue signalling people using a legislative or political issue as an opportunity to broadcast to the world what very nice people they are.
95,fine-tune/20151126-0900-PLENARY-14-en_20151126-12:45:23_2,[],but stand back and ask the question is it right for sensitive issues moral issues one might say of this nature to be dealt with at a continental level?
96,fine-tune/20151126-0900-PLENARY-14-en_20151126-12:45:23_3,[],is it not precisely matters of this kind in which opinions run so strongly among our constituents that ought to be determined through our national democratic mechanisms and procedures?
97,fine-tune/20151126-0900-PLENARY-14-en_20151126-12:33:15_2,[{'type': 'org'| 'filler': 'world trade organization'}| {'type': 'gpe'| 'filler': 'european union'}| {'type': 'person'| 'filler': 'thomas jefferson'}],unfortunately our governments in the past have not listened to thomas jefferson's words and we have become entangled with the european union thus losing our spot in the world trade organization.
98,fine-tune/20151126-0900-PLENARY-14-en_20151126-12:33:15_3,[],as a consequence we cannot influence properly the world trade liberalisation programme.
99,fine-tune/20151126-0900-PLENARY-14-en_20151126-12:33:15_4,[{'type': 'gpe'| 'filler': 'united kingdom'}],we cannot influence tariff reductions that would benefit the people of the united kingdom.
100,fine-tune/20091126-0900-PLENARY-14-en_20091126-15:04:38_4,[],but more importantly than that they cursed my country and they oppress their own people.
101,fine-tune/20091126-0900-PLENARY-14-en_20091126-15:19:37_5,[{'type': 'org'| 'filler': 'council'}| {'type': 'date'| 'filler': 'two thousand and nine'}],two thousand and nine this decision had been preceded by a discussion with member states in the council.
102,fine-tune/20091126-0900-PLENARY-14-en_20091126-15:19:37_12,[{'type': 'date'| 'filler': 'two thousand and eleven'}| {'type': 'date'| 'filler': 'two thousand and ten'}| {'type': 'gpe'| 'filler': 'nicaragua'}],the government of nicaragua has announced that the next regional elections in two thousand and ten and the general election in two thousand and eleven will have national and international observation teams.
103,fine-tune/20091126-0900-PLENARY-14-en_20091126-15:19:37_7,[{'type': 'money'| 'filler': 'eur forty six million'}],this represents a small part of the funds that have been suspended which amount to an additional eur forty six million.
104,fine-tune/20091126-0900-PLENARY-14-en_20091126-15:19:37_14,[{'type': 'date'| 'filler': 'next year'}],the government has also committed inter alia to improving its civil registry and electoral role with the support of an ec project and to appoint credible and professional electoral authorities next year.
105,fine-tune/20091126-0900-PLENARY-14-en_20091126-15:19:37_1,[{'type': 'loc'| 'filler': 'central american'}| {'type': 'gpe'| 'filler': 'eu'}],at the same time the eu is trying to maintain a balance with our long standing commitment to support the development and stability of this developing country and the central american region more generally.
106,fine-tune/20091126-0900-PLENARY-14-en_20091126-15:19:37_9,[{'type': 'org'| 'filler': 'european commission'}],without going into the details of this i think it is very important that when we take that kind of decision we have a kind of a procedure whereby we at least try to make sure that the european commission and the member states are taking the same line with respect to
107,fine-tune/20091126-0900-PLENARY-14-en_20091126-15:19:37_8,[{'type': 'org'| 'filler': 'development council'}| {'type': 'date'| 'filler': 'last week'}],there was criticism last week in the development council that there were no previous discussions on this with the member states.
108,fine-tune/20091126-0900-PLENARY-14-en_20091126-15:19:37_6,[{'type': 'money'| 'filler': 'eur ten million'}| {'type': 'date'| 'filler': 'beginning of october'}| {'type': 'norp'| 'filler': 'nicaraguan'}],following numerous contacts with the nicaraguan authorities which gave credible commitments that corrective steps would be taken the commission proceeded at the beginning of october with a single payment of eur ten million of our budget support programme to the education sector.
109,fine-tune/20091126-0900-PLENARY-14-en_20091126-15:19:37_15,[{'type': 'norp'| 'filler': 'nicaraguan'}| {'type': 'org'| 'filler': 'constitutional chamber'}],on the other hand recent developments such as the ruling by the constitutional chamber certainly cast a shadow on the seriousness of the nicaraguan government to live up to its commitments.
110,fine-tune/20091126-0900-PLENARY-14-en_20091126-15:19:37_0,[{'type': 'gpe'| 'filler': 'european union'}],mr president honourable colleagues as you know the european union is engaged in a difficult dialogue with this country aimed at preserving democracy and restoring its citizens' trust in the country's democratic institutions.
111,fine-tune/20091126-0900-PLENARY-14-en_20091126-15:19:37_17,[],at the end of the day implementation of these commitments will be crucial for the progressive resumption of our budgetary support programmes.
112,fine-tune/20091126-0900-PLENARY-14-en_20091126-15:13:36_1,[{'type': 'org'| 'filler': 'liberal international'}| {'type': 'org'| 'filler': 'parliament'}],i do not understand why it is not urgent to take the floor discussing the issue of the treatment of one of the members of this parliament who has visited a country exercising his right as president of liberal international.
113,fine-tune/20091126-0900-PLENARY-14-en_20091126-15:13:36_2,[{'type': 'cardinal'| 'filler': 'two'}| {'type': 'cardinal'| 'filler': 'one'}| {'type': 'loc'| 'filler': 'latin america'}],i do not understand why we cannot take the floor and speak about this issue and also speak about this new tendency in latin america to try to change arbitrarily the constitution of the country and stop a tradition that has always existed concerning one or two terms of office of the head of state in that country.
114,fine-tune/20091126-0900-PLENARY-14-en_20091126-15:06:06_3,[],these presidents with extended powers have not been able or willing to improve the quality of life of their subjects.
115,fine-tune/20091126-0900-PLENARY-14-en_20091126-15:06:06_5,[{'type': 'gpe'| 'filler': 'nicaragua'}],in nicaragua we can see a warning example that such kinds of rulers do not change. they return to power only to misuse it once again.
116,fine-tune/20091126-0900-PLENARY-14-en_20091126-15:17:49_0,[{'type': 'gpe'| 'filler': 'nicaragua'}| {'type': 'norp'| 'filler': 'socialist'}| {'type': 'person'| 'filler': 'daniel ortega'}| {'type': 'loc'| 'filler': 'americas'}| {'type': 'cardinal'| 'filler': 'one'}| {'type': 'gpe'| 'filler': 'nicaragua'}],mr president nicaragua remains one of the poorest countries in the americas. the fact that president daniel ortega has failed to improve his country's situation despite myriad socialist utopian promises upon taking office would suggest that nicaragua needs a change of leadership now.
117,fine-tune/20091126-0900-PLENARY-14-en_20091126-15:17:49_1,[{'type': 'person'| 'filler': 'ortega'}| {'type': 'cardinal'| 'filler': 'one'}],the country's constitution permits heads of state to serve only one term sometimes a wise policy in a region prone to instability but ortega is once again showing his contempt for parliamentary democracy and the rule of law by abusing the constitutional court's powers.
118,fine-tune/20091126-0900-PLENARY-14-en_20091126-15:17:49_3,[{'type': 'gpe'| 'filler': 'honduras'}],both men have made their names denouncing caudillos but they themselves are turning into caudillos of the left and as such represent a genuine threat to regional democratic stability especially given the chaos in nearby honduras.
119,fine-tune/20100615-0900-PLENARY-16-en_20100615-23:12:01_2,[],these evaluations are ongoing so it is too early to assess the state of play of the preparations.
120,fine-tune/20100615-0900-PLENARY-16-en_20100615-23:12:01_8,[{'type': 'org'| 'filler': 'european parliament'}],member states of course shall be involved to maintain mutual trust among each other on their capacity to apply all accompanying measures allowing for the lifting of internal border control in particular in the field of external borders visa and police cooperation. the european parliament should indeed be fully informed of the outcome of these results of the evaluation.
